driverType,driverVIN,driverMedallion,driverName,driverCabYear,driverCabMake,driverCabModel,driverDMVLicense,driverCompany,driverCompanyPhone
Y,,6431,POUYA RIDE INC.,2012,TOYOTA,XB GASOLINE N ,,,
Y,,6451,CHICAGO GREEN TAXI INC.,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,6460,FARHAN TRANSPORTATION INC.,2011,TOYOTA,PRIUS HYBRID N ,,,
Y,,6472,RW CAB CORP,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,6497,FARHAN TRANSPORTATION INC.,2011,TOYOTA,PRIUS HYBRID N ,,,
Y,,6504,ASPIRE CAB CORP.,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,6505,RW CAB CORP,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6507,TORIA INC.,2011,CHEVROLET,IMPALA CNG N ,,,
Y,,6509,"VALI TRANS, INC.",2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,6519,GEELMAN CORP.,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,6536,E & E TAXI COMPANY,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6539,GHOUSIA INC.,2010,FORD,ESCAPE HYBRID N ,,,
Y,,6553,SPEEDY CAB CORP.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6554,FAIZAN EXPRESS INC.,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6558,PARK AVENUE TAXI CORP.,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,6559,PARK AVENUE TAXI CORP.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6588,"ARIANA TRANS, INC.",2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,6592,EMPIRE TAXI INCORPORATED,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6593,EMPIRE TAXI INCORPORATED,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,6594,EMPIRE TAXI INCORPORATED,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6595,MODAN ENTERPRISE INC.,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,6596,M & N EXPRESS INC.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6605,YORK AVENUE TAXI CORP.,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,6623,XAVI CAB CORP,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,6639,NAILA ENTERPRISES INC.,2011,TOYOTA,PRIUS HYBRID N ,,,
Y,,6640,EDEN ROC TRANSIT LLC,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6641,EDEN ROC TRANSIT LLC,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6645,SLOBOMIR KAPUR CORP,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,6646,SLOBOMIR KAPUR CORP,2012,TOYOTA,CAMRY HYBRID N ,,,
